Task,Device,Family,InputMode,Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,SourceFile
Binary (2-class),both,DL,feature_based,UNet1D,0.9639803670983726,0.057990422823323486,0.9636921055308307,0.0589305060129,dl_loso_unet1d_2cls_20260515_005433.json
Binary (2-class),both,DL,feature_based,CNN1D,0.9306473831445082,0.0786978567088626,0.9316273536870753,0.07771496430386665,dl_loso_cnn1d_2cls_20260515_005101.json
Binary (2-class),both,DL,feature_based,ResNet1D,0.9205245206484247,0.08025508991850433,0.918287080923877,0.08334095418978456,dl_loso_resnet1d_2cls_20260515_010603.json
Binary (2-class),both,DL,raw_signal,RawCNN1D,0.9518705259881731,0.09401968108395517,0.9447771765699894,0.11568268990587752,dl_loso_rawcnn1d_both_2cls_20260515_190914.json
Binary (2-class),both,ML,feature_based,AdaBoost,0.9710149421224121,0.048532085136675805,0.9714917453925985,0.047400508123385865,loso_20260515_003946.json
Binary (2-class),both,ML,feature_based,RandomForest,0.9691469013737745,0.04906515771553891,0.9694928723698812,0.048148643717007604,loso_20260515_003946.json
Binary (2-class),both,ML,feature_based,SVM,0.9662770899124138,0.05603437178636831,0.9669016867013741,0.05455217013611981,loso_20260515_003946.json
Binary (2-class),both,ML,feature_based,LogisticRegression,0.9661789326012329,0.05749176579972961,0.9647326489726624,0.06198028260619073,loso_20260515_003946.json
Binary (2-class),both,ML,feature_based,KNN,0.954795182174895,0.06072610400636085,0.9545366402893039,0.06127265821259399,loso_20260515_003946.json
Binary (2-class),both,ML,feature_based,LDA,0.9511788668472316,0.06904485048535267,0.9496988349521769,0.07235101729447992,loso_20260515_003946.json
Binary (2-class),both,ML,feature_based,DecisionTree,0.8650174768246589,0.1720343475552495,0.8612443595256549,0.183138056346444,loso_20260515_003946.json
Tri-class (3-class),both,DL,feature_based,UNet1D,0.8955136627327455,0.055051031666008186,0.883916118184594,0.07026585025057942,dl_loso_unet1d_3cls_20260515_011411.json
Tri-class (3-class),both,DL,feature_based,CNN1D,0.8555708585725651,0.12263217815569853,0.8524150695230992,0.12107645708622022,dl_loso_cnn1d_3cls_20260515_011059.json
Tri-class (3-class),both,DL,feature_based,ResNet1D,0.7859214870401482,0.15369639858993686,0.7670826378260854,0.16279310593439855,dl_loso_resnet1d_3cls_20260515_012605.json
Tri-class (3-class),both,DL,raw_signal,RawCNN1D,0.8216999015521935,0.13578206440269155,0.8153689465875814,0.13302703958207415,dl_loso_rawcnn1d_both_3cls_20260515_192405.json
Tri-class (3-class),both,ML,feature_based,AdaBoost,0.9247457803105826,0.06475824989355297,0.9211445847790795,0.0674012995123348,loso_20260515_004532.json
Tri-class (3-class),both,ML,feature_based,RandomForest,0.9204604981693236,0.06879165020645218,0.9087865425630656,0.08211934568075897,loso_20260515_004532.json
Tri-class (3-class),both,ML,feature_based,SVM,0.8753214588804247,0.08479061443295086,0.8539849619077411,0.10230131153372442,loso_20260515_004532.json
Tri-class (3-class),both,ML,feature_based,LDA,0.85863335117524,0.12096656486534905,0.8422281485299197,0.1270300433868329,loso_20260515_004532.json
Tri-class (3-class),both,ML,feature_based,DecisionTree,0.8342523707915885,0.1280154090507735,0.8222118850176034,0.12448083384733746,loso_20260515_004532.json
Tri-class (3-class),both,ML,feature_based,KNN,0.8372595407256401,0.1054681140743704,0.8125747472819944,0.11089433947566817,loso_20260515_004532.json
Tri-class (3-class),both,ML,feature_based,LogisticRegression,0.8245060065462196,0.12561561336744004,0.8006204324169648,0.13053514501412639,loso_20260515_004532.json
