Task,TestSubject,MeanAccuracy,MeanF1,NumModels
Binary (2-class),3,0.8441176470588235,0.8356163075771684,10
Binary (2-class),2,0.8447761194029851,0.8450322394049345,10
Binary (2-class),14,0.8571428571428571,0.8608442667788972,10
Binary (2-class),10,0.8887323943661972,0.8830055916751206,10
Binary (2-class),17,0.8902777777777778,0.8893424257966644,10
Binary (2-class),11,0.9557142857142857,0.956407300546817,10
Binary (2-class),8,0.9785714285714286,0.9788824145303326,10
Binary (2-class),13,0.9814285714285715,0.9818470831294495,10
Binary (2-class),15,0.9859154929577464,0.9855545182271065,10
Binary (2-class),7,0.99,0.9898230495791471,10
Binary (2-class),6,0.99,0.9899031200485716,10
Binary (2-class),9,0.9914285714285714,0.9912588199216937,10
Binary (2-class),5,0.9942857142857143,0.9942621922336967,10
Binary (2-class),16,0.9972222222222221,0.9972390572390573,10
Binary (2-class),4,0.9985294117647058,0.9985396058294949,10
Tri-class (3-class),2,0.6791044776119403,0.680146672359143,10
Tri-class (3-class),10,0.7901408450704225,0.7393474909174665,10
Tri-class (3-class),14,0.7728571428571429,0.7515511613851746,10
Tri-class (3-class),7,0.8285714285714285,0.8048603317458068,10
Tri-class (3-class),4,0.848529411764706,0.8063457084565929,10
Tri-class (3-class),17,0.826388888888889,0.8193668973467574,10
Tri-class (3-class),8,0.8300000000000001,0.825592104420199,10
Tri-class (3-class),3,0.8382352941176471,0.8289343339085502,10
Tri-class (3-class),15,0.871830985915493,0.8318320257330978,10
Tri-class (3-class),13,0.9114285714285714,0.8941892640300969,10
Tri-class (3-class),16,0.9083333333333334,0.9150614940481345,10
Tri-class (3-class),5,0.9357142857142857,0.9264021285403417,10
Tri-class (3-class),11,0.9414285714285715,0.9439659712913041,10
Tri-class (3-class),6,0.9642857142857142,0.963601023664814,10
Tri-class (3-class),9,0.9714285714285715,0.9662510841977412,10
