Task,Family,Model,TestSubject,Accuracy,F1,SourceFile
Binary (2-class),DL,CNN1D,2,0.7164179104477612,0.7140474833966141,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,3,0.8382352941176471,0.836995226322091,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,4,0.9852941176470589,0.9853960582949481,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,5,1.0,1.0,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,6,0.9571428571428572,0.9561309977151561,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,7,0.9857142857142858,0.9858163516700102,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,8,0.9285714285714286,0.9304506977808281,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,9,0.9714285714285714,0.9709568037741412,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,10,0.9859154929577465,0.9858228534939967,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,11,0.9857142857142858,0.9858067609685927,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,13,0.9,0.9032967032967033,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,14,0.7714285714285715,0.7806560134566863,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,15,1.0,1.0,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,16,1.0,1.0,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,CNN1D,17,0.8611111111111112,0.8656204906204906,dl_loso_cnn1d_2cls_20260513_224040.json
Binary (2-class),DL,ResNet1D,2,0.7910447761194029,0.7873726605069888,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,3,0.8823529411764706,0.8804574461363494,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,4,1.0,1.0,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,5,1.0,1.0,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,6,0.9857142857142858,0.9856122197585612,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,7,0.9857142857142858,0.9856018568889855,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,8,0.9857142857142858,0.9858067609685927,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,9,1.0,1.0,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,10,0.7605633802816901,0.7693643995892857,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,11,0.9857142857142858,0.9858067609685927,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,13,0.9714285714285714,0.9717803030303032,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,14,0.7285714285714285,0.7382029466694335,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,15,0.971830985915493,0.9714419852448021,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,16,1.0,1.0,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,ResNet1D,17,0.8888888888888888,0.8813858545735409,dl_loso_resnet1d_2cls_20260513_225728.json
Binary (2-class),DL,UNet1D,2,0.835820895522388,0.8391793980530079,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,3,0.8529411764705882,0.8529411764705882,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,4,1.0,1.0,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,5,1.0,1.0,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,6,0.9571428571428572,0.9561309977151561,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,7,0.9857142857142858,0.9858163516700102,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,8,0.9857142857142858,0.9858067609685927,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,9,1.0,1.0,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,10,0.9859154929577465,0.9859993869286738,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,11,1.0,1.0,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,13,0.9428571428571428,0.9441258094357076,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,14,0.9428571428571428,0.9441258094357076,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,15,0.9577464788732394,0.9568281458856982,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,16,1.0,1.0,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),DL,UNet1D,17,0.9166666666666666,0.9156060606060605,dl_loso_unet1d_2cls_20260513_224428.json
Binary (2-class),ML,AdaBoost,2,0.9104477611940298,0.9135685210312076,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,3,0.8823529411764706,0.8804574461363494,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,4,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,5,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,6,0.9857142857142858,0.9856122197585612,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,7,0.9857142857142858,0.9858163516700102,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,8,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,9,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,10,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,11,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,13,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,14,0.8428571428571429,0.849230101930167,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,15,0.9859154929577465,0.9858228534939967,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,16,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,AdaBoost,17,0.9722222222222222,0.9718686868686868,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,2,0.7164179104477612,0.7140474833966141,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,3,0.8676470588235294,0.8685645246545345,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,4,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,5,0.9571428571428572,0.9568055706669568,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,6,0.9857142857142858,0.9858067609685927,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,7,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,8,0.9428571428571428,0.9428571428571428,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,9,0.9571428571428572,0.9560295385538106,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,10,0.4225352112676056,0.35412142618352016,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,11,0.6428571428571429,0.6483336740952771,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,13,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,14,0.9142857142857143,0.9168478260869567,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,15,0.9436619718309859,0.9419497376415354,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,16,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,17,0.625,0.6333017077798861,loso_20260513_222617.json
Binary (2-class),ML,KNN,2,0.835820895522388,0.831272210376688,loso_20260513_222617.json
Binary (2-class),ML,KNN,3,0.8529411764705882,0.8505718076704366,loso_20260513_222617.json
Binary (2-class),ML,KNN,4,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,KNN,5,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,KNN,6,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,KNN,7,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,KNN,8,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,KNN,9,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,KNN,10,0.8450704225352113,0.8475687270318439,loso_20260513_222617.json
Binary (2-class),ML,KNN,11,0.9857142857142858,0.9858067609685927,loso_20260513_222617.json
Binary (2-class),ML,KNN,13,0.9714285714285714,0.9717803030303032,loso_20260513_222617.json
Binary (2-class),ML,KNN,14,0.9142857142857143,0.9168478260869567,loso_20260513_222617.json
Binary (2-class),ML,KNN,15,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,KNN,16,0.9861111111111112,0.9861952861952861,loso_20260513_222617.json
Binary (2-class),ML,KNN,17,0.9305555555555556,0.9280066829794511,loso_20260513_222617.json
Binary (2-class),ML,LDA,2,0.9104477611940298,0.9104477611940298,loso_20260513_222617.json
Binary (2-class),ML,LDA,3,0.7941176470588235,0.7763009049773756,loso_20260513_222617.json
Binary (2-class),ML,LDA,4,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LDA,5,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LDA,6,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LDA,7,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LDA,8,0.9857142857142858,0.9856122197585612,loso_20260513_222617.json
Binary (2-class),ML,LDA,9,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LDA,10,0.8873239436619719,0.8909835078849163,loso_20260513_222617.json
Binary (2-class),ML,LDA,11,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LDA,13,0.9857142857142858,0.9858067609685927,loso_20260513_222617.json
Binary (2-class),ML,LDA,14,0.8571428571428571,0.8457269700332964,loso_20260513_222617.json
Binary (2-class),ML,LDA,15,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LDA,16,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LDA,17,0.8472222222222222,0.8506043994658795,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,2,0.9104477611940298,0.9127653657179938,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,3,0.8088235294117647,0.7823927508483252,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,4,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,5,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,6,0.9714285714285714,0.971,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,7,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,8,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,9,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,10,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,11,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,13,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,14,0.8714285714285714,0.8756671899529043,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,15,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,16,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,17,0.9305555555555556,0.929164428070714,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,2,0.8955223880597015,0.8976596169428233,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,3,0.8823529411764706,0.8823529411764706,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,4,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,5,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,6,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,7,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,8,0.9857142857142858,0.9856122197585612,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,9,1.0,1.0,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,10,0.9859154929577465,0.9859993869286738,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,11,1.0,1.0,loso_20260513_222617.json
